event_id,market_key,outcome_name,bookmaker_key,bookmaker_title,price,median_price,pct_diff,point,snapshot,raw_path
96377d2fb55e3cef733cecccdecaed5f,h2h,Buffalo Bills,betrivers,BetRivers,1.23,1.25,-0.016000000000000014,,20251116_2025,backtest/cache/event_props_96377d2fb55e3cef733cecccdecaed5f_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Seattle Seahawks,draftkings,DraftKings,2.45,2.49,-0.016064257028112462,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Seattle Seahawks,williamhill_us,Caesars,2.45,2.49,-0.016064257028112462,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
5c06e82838fcfade9adf1e89b8bd3081,h2h,Green Bay Packers,fanatics,Fanatics,1.22,1.24,-0.01612903225806453,,20251116_2025,backtest/cache/event_props_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2025.json
229a5e9ce60dcb344a8cc3c97121154e,h2h,Chicago Bears,williamhill_us,Caesars,1.14,1.16,-0.017241379310344845,,20251116_2025,backtest/cache/event_props_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Denver Broncos,fanatics,Fanatics,2.75,2.8,-0.017857142857142794,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
fd2f29289d6437a7c07d4780c5f04936,h2h,Houston Texans,draftkings,DraftKings,1.07,1.09,-0.018348623853211024,,20251116_2025,backtest/cache/event_props_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,Arizona Cardinals,mybookieag,MyBookie.ag,2.55,2.6,-0.019230769230769332,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
91630b9c62640117918fa30d2a62d2db,h2h,Arizona Cardinals,betrivers,BetRivers,2.55,2.6,-0.019230769230769332,,20251116_2025,backtest/cache/event_props_91630b9c62640117918fa30d2a62d2db_snapshot_20251116_2025.json
0ae85bbc3711ad0cb94475a40e2364f0,h2h,Atlanta Falcons,mybookieag,MyBookie.ag,1.45,1.48,-0.02027027027027029,,20251116_2025,backtest/cache/event_props_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2025.json
96ce7785b0980b03282c7e10d4c58d4a,h2h,Kansas City Chiefs,betrivers,BetRivers,1.43,1.46,-0.02054794520547947,,20251116_2025,backtest/cache/event_props_96ce7785b0980b03282c7e10d4c58d4a_snapshot_20251116_2025.json
fd2f29289d6437a7c07d4780c5f04936,h2h,Tennessee Titans,fanduel,FanDuel,6.6,6.75,-0.022222222222222275,,20251116_2025,backtest/cache/event_props_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2025.json
96377d2fb55e3cef733cecccdecaed5f,h2h,Buffalo Bills,mybookieag,MyBookie.ag,1.22,1.25,-0.02400000000000002,,20251116_2025,backtest/cache/event_props_96377d2fb55e3cef733cecccdecaed5f_snapshot_20251116_2025.json
96377d2fb55e3cef733cecccdecaed5f,h2h,Buffalo Bills,fanatics,Fanatics,1.22,1.25,-0.02400000000000002,,20251116_2025,backtest/cache/event_props_96377d2fb55e3cef733cecccdecaed5f_snapshot_20251116_2025.json
e926e654cedeb65fcfcc389a5158ef4e,h2h,Seattle Seahawks,betrivers,BetRivers,2.43,2.49,-0.024096385542168693,,20251116_2025,backtest/cache/event_props_e926e654cedeb65fcfcc389a5158ef4e_snapshot_20251116_2025.json
cc60225b5a907bd9ba7c27c23131fc5c,h2h,Cleveland Browns,betrivers,BetRivers,4.3,4.42,-0.02714932126696835,,20251116_2025,backtest/cache/event_props_cc60225b5a907bd9ba7c27c23131fc5c_snapshot_20251116_2025.json
5c06e82838fcfade9adf1e89b8bd3081,h2h,Green Bay Packers,betrivers,BetRivers,1.2,1.24,-0.03225806451612906,,20251116_2025,backtest/cache/event_props_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2025.json
fd2f29289d6437a7c07d4780c5f04936,h2h,Houston Texans,betrivers,BetRivers,1.05,1.09,-0.03669724770642205,,20251116_2025,backtest/cache/event_props_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2025.json
fd2f29289d6437a7c07d4780c5f04936,h2h,Tennessee Titans,bovada,Bovada,6.5,6.75,-0.037037037037037035,,20251116_2025,backtest/cache/event_props_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2025.json
5c06e82838fcfade9adf1e89b8bd3081,h2h,New York Giants,fanduel,FanDuel,3.85,4.0,-0.03749999999999998,,20251116_2025,backtest/cache/event_props_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2025.json
96377d2fb55e3cef733cecccdecaed5f,h2h,Tampa Bay Buccaneers,fanduel,FanDuel,3.6,3.75,-0.03999999999999997,,20251116_2025,backtest/cache/event_props_96377d2fb55e3cef733cecccdecaed5f_snapshot_20251116_2025.json
229a5e9ce60dcb344a8cc3c97121154e,h2h,Minnesota Vikings,mybookieag,MyBookie.ag,4.6,4.8,-0.041666666666666706,,20251116_2025,backtest/cache/event_props_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2025.json
96377d2fb55e3cef733cecccdecaed5f,h2h,Tampa Bay Buccaneers,bovada,Bovada,3.55,3.75,-0.05333333333333338,,20251116_2025,backtest/cache/event_props_96377d2fb55e3cef733cecccdecaed5f_snapshot_20251116_2025.json
229a5e9ce60dcb344a8cc3c97121154e,h2h,Chicago Bears,bovada,Bovada,1.08,1.16,-0.06896551724137918,,20251116_2025,backtest/cache/event_props_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2025.json
5c06e82838fcfade9adf1e89b8bd3081,h2h,Green Bay Packers,mybookieag,MyBookie.ag,1.15,1.24,-0.07258064516129038,,20251116_2025,backtest/cache/event_props_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2025.json
0ae85bbc3711ad0cb94475a40e2364f0,h2h,Atlanta Falcons,bovada,Bovada,1.36,1.48,-0.081081081081081,,20251116_2025,backtest/cache/event_props_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2025.json
5c06e82838fcfade9adf1e89b8bd3081,h2h,New York Giants,bovada,Bovada,3.65,4.0,-0.08750000000000002,,20251116_2025,backtest/cache/event_props_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2025.json
0ae85bbc3711ad0cb94475a40e2364f0,h2h,Carolina Panthers,betrivers,BetRivers,2.32,2.6,-0.10769230769230778,,20251116_2025,backtest/cache/event_props_0ae85bbc3711ad0cb94475a40e2364f0_snapshot_20251116_2025.json
5c06e82838fcfade9adf1e89b8bd3081,h2h,New York Giants,williamhill_us,Caesars,3.5,4.0,-0.125,,20251116_2025,backtest/cache/event_props_5c06e82838fcfade9adf1e89b8bd3081_snapshot_20251116_2025.json
229a5e9ce60dcb344a8cc3c97121154e,h2h,Minnesota Vikings,draftkings,DraftKings,4.0,4.8,-0.16666666666666663,,20251116_2025,backtest/cache/event_props_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2025.json
229a5e9ce60dcb344a8cc3c97121154e,h2h,Minnesota Vikings,fanatics,Fanatics,3.8,4.8,-0.20833333333333334,,20251116_2025,backtest/cache/event_props_229a5e9ce60dcb344a8cc3c97121154e_snapshot_20251116_2025.json
fd2f29289d6437a7c07d4780c5f04936,h2h,Tennessee Titans,mybookieag,MyBookie.ag,4.4,6.75,-0.3481481481481481,,20251116_2025,backtest/cache/event_props_fd2f29289d6437a7c07d4780c5f04936_snapshot_20251116_2025.json
